"Time","pop_type","n_pop","pop_size","mean_b","mean_d"
0,"noLansing",1,500,1.5,0.819999992847443
0,"Lansing",1,500,1.5,1.29999995231628
1,"noLansing",1,1197,1.49984174899118,0.820510447775372
1,"Lansing",1,1210,1.50000554465116,1.29697208841858
2,"noLansing",1,1700,1.50027309776383,0.821057708428147
2,"Lansing",1,1887,1.50072004816749,1.28518989972331
3,"noLansing",1,1819,1.49951561429709,0.823407399052084
3,"Lansing",1,2272,1.50040030545475,1.28489737933378
4,"noLansing",1,1816,1.50254057818791,0.822326132710215
4,"Lansing",1,2387,1.49853430000349,1.28330687576574
5,"noLansing",1,1865,1.50291784167676,0.823115630450225
5,"Lansing",1,2535,1.50003197126597,1.28300138787335
6,"noLansing",1,1895,1.50106522822766,0.824455702870524
6,"Lansing",1,2669,1.50159313597287,1.28474460595407
7,"noLansing",1,1927,1.50030798263085,0.827004620267076
7,"Lansing",1,2765,1.50279949229394,1.29022116783146
8,"noLansing",1,2044,1.49982654949722,0.825118768194971
8,"Lansing",1,2738,1.50164733148663,1.2944163891709
9,"noLansing",1,2049,1.50212406437948,0.826715705016086
9,"Lansing",1,2728,1.50006338351971,1.29640813476243
10,"noLansing",1,2090,1.50542308763748,0.831174552686151
10,"Lansing",1,2861,1.49747665914227,1.30213880212282
11,"noLansing",1,2194,1.50856012461174,0.831512187499139
11,"Lansing",1,2918,1.49928354766233,1.30871215129897
12,"noLansing",1,2221,1.50772995303036,0.833580099722979
12,"Lansing",1,2855,1.50130041310676,1.31579688307004
13,"noLansing",1,2238,1.50972850910869,0.837454125116162
13,"Lansing",1,2966,1.50257903178209,1.32991395633465
14,"noLansing",1,2156,1.51250246786736,0.841313632067868
14,"Lansing",1,2936,1.503755339745,1.33303632097757
15,"noLansing",1,2084,1.5140428289897,0.848782330598863
15,"Lansing",1,2964,1.50602127349458,1.34052338323182
16,"noLansing",1,2079,1.51740245008914,0.849200624264186
16,"Lansing",1,3065,1.50715516605483,1.34563372971526
17,"noLansing",1,1928,1.52283049796198,0.850334222682439
17,"Lansing",1,3097,1.50580041880898,1.34803698896591
18,"noLansing",1,1979,1.53251813294904,0.855530258728071
18,"Lansing",1,3297,1.50398737843229,1.35718310635009
19,"noLansing",1,2017,1.53769494618923,0.856344205058919
19,"Lansing",1,3266,1.5019022642438,1.3638686283994
20,"noLansing",1,1934,1.53870092858025,0.859909913423717
20,"Lansing",1,3332,1.50173381108054,1.36903861039722
21,"noLansing",1,1769,1.53493625966193,0.861766198840265
21,"Lansing",1,3490,1.49903895192753,1.37748697237164
22,"noLansing",1,1735,1.54176220474224,0.862598023328408
22,"Lansing",1,3569,1.49827871647036,1.38224676222541
23,"noLansing",1,1729,1.54236880129039,0.861342953031875
23,"Lansing",1,3617,1.5017818939706,1.39239145508321
24,"noLansing",1,1656,1.54583153420669,0.861066670786245
24,"Lansing",1,3787,1.50397241671974,1.40574448155972
25,"noLansing",1,1663,1.55018962512997,0.868730093207162
25,"Lansing",1,3870,1.50850429827681,1.41678541398369
26,"noLansing",1,1560,1.55551435337847,0.875727451689673
26,"Lansing",1,3966,1.51108847685063,1.42328924193654
27,"noLansing",1,1560,1.55551435337847,0.875727451689673
27,"Lansing",1,3966,1.51108847685063,1.42328924193654
28,"noLansing",1,1560,1.55551435337847,0.875727451689673
28,"Lansing",1,3966,1.51108847685063,1.42328924193654
29,"noLansing",1,1560,1.55551435337847,0.875727451689673
29,"Lansing",1,3966,1.51108847685063,1.42328924193654
0,"noLansing",2,500,1.5,0.819999992847443
0,"Lansing",2,500,1.5,1.29999995231628
1,"noLansing",2,1047,1.49887291314379,0.821654062980471
1,"Lansing",2,1249,1.50014355673807,1.30061238082938
2,"noLansing",2,1475,1.49853953857998,0.823771837288667
2,"Lansing",2,1901,1.50041212696383,1.29482092209046
3,"noLansing",2,1877,1.5006833577404,0.823407273080253
